x,Q2,W,miss_mass,phih,pt2,t,secondary_pips,secondary_pims,secondary_pizs,secondary_esum,accepted
0.3925,4.2506,2.7314,13.1365,-2.6553,0.0985,-1.8940,0,1,0,1.97280,1
0.3981,3.9963,2.6310,11.6938,2.8349,0.0271,-0.5662,0,1,0,0.24836,3
0.4737,4.4829,2.4208,11.9603,-0.8155,0.0881,-1.0332,0,1,0,0.20083,1
0.4361,4.7517,2.6503,13.1211,1.9759,0.0140,-1.9347,0,1,2,1.06172,1
0.3893,3.9555,2.6620,12.8566,-1.6790,0.0069,-1.4716,0,1,1,1.22559,1
0.5014,4.9889,2.4168,11.7726,-2.0919,0.0393,-0.8417,0,1,0,0.24410,1
0.4159,4.4859,2.6794,11.9361,-1.8819,0.0753,-0.8627,0,1,0,0.22684,3
0.4135,4.3072,2.6440,11.8975,2.7672,0.0906,-0.8440,0,1,0,0.48911,1
0.4693,5.1773,2.5953,11.7161,-2.4159,0.1195,-0.8266,0,1,0,0.24190,0
0.4414,4.5006,2.5642,12.7626,-2.9040,0.0413,-1.6518,0,1,0,1.58611,1
0.3614,3.8616,2.7754,12.0747,-3.1313,0.0256,-0.7845,0,1,0,0.51897,3
0.4312,4.3569,2.5743,11.8234,-2.4265,0.0482,-0.7616,0,1,0,0.24052,3
0.5431,5.0312,2.2612,11.9096,0.3021,0.0517,-1.0912,0,1,0,0.43772,1
0.4538,4.3981,2.4848,12.1053,2.3923,0.0372,-1.0541,0,1,0,0.43610,1
0.3749,3.9279,2.7259,11.7413,2.2102,0.0304,-0.5679,0,1,0,0.42294,1
0.4069,4.1861,2.6423,11.7841,1.5670,0.0262,-0.6538,0,1,0,0.51750,1
0.3822,3.9917,2.7081,11.8339,-2.9275,0.0020,-0.6162,0,1,0,0.47208,1
0.4296,4.1380,2.5247,12.1579,-2.4028,0.0072,-0.9969,0,1,0,0.71774,1
0.3898,4.1987,2.7299,11.6319,2.6790,0.0961,-0.5881,0,1,0,0.25037,3
0.3415,3.6889,2.8272,12.0597,-2.3798,0.0641,-0.7771,0,1,0,0.80887,1
0.5101,5.5379,2.4899,12.1619,-2.4609,0.0048,-1.2205,0,0,0,0.00000,3
0.4151,4.1436,2.5921,12.1195,2.1498,0.0165,-0.9396,0,1,0,0.68595,1
0.4462,4.6013,2.5676,11.7140,2.5660,0.0506,-0.6961,0,1,0,0.42047,1
0.3684,4.0228,2.7887,12.5227,2.7166,0.0644,-1.2068,0,1,1,1.31583,1
0.3985,4.1120,2.6622,12.1644,-2.8640,0.0173,-0.9362,0,1,0,0.78055,3
0.4728,4.5073,2.4304,11.9464,-1.1303,0.0578,-0.9761,0,1,0,0.55157,1
0.4517,4.4567,2.5080,12.8853,2.1257,0.0220,-1.7821,0,0,0,0.00000,1
0.3887,3.9672,2.6682,12.2057,2.7122,0.0354,-0.9690,0,1,0,0.65212,1
0.5327,5.5539,2.3982,13.0085,2.2443,0.0192,-2.2729,0,1,0,1.56090,1
0.3991,4.2504,2.6983,11.7807,-2.1549,0.0720,-0.6939,0,1,0,0.24529,3
0.3957,4.0208,2.6496,12.2765,2.6671,0.0516,-1.0699,0,1,1,0.85951,1
0.5363,5.5654,2.3859,12.2340,1.7900,0.0183,-1.3915,0,1,0,0.71144,3
0.4265,4.4503,2.6199,13.1196,2.4669,0.0087,-1.8772,0,2,1,1.79739,1
0.4683,5.0527,2.5724,11.9676,-1.4584,0.0228,-0.9421,0,1,0,0.46589,1
0.4490,4.8424,2.6120,12.2490,2.5943,0.0432,-1.1870,0,1,0,0.50967,3
0.4320,4.6306,2.6401,11.6004,-1.8892,0.0099,-0.5239,0,1,0,0.28467,1
0.4041,4.3306,2.6956,11.8268,1.9078,0.0515,-0.7157,0,1,0,0.32042,1
0.3884,4.2302,2.7461,12.7080,-2.3241,0.0362,-1.3895,0,1,1,1.26427,1
0.5084,4.8829,2.3670,12.1211,-3.0426,0.0074,-1.1712,0,1,1,0.67013,1
0.3886,4.0564,2.6949,12.7624,2.9058,0.0773,-1.5032,0,1,0,1.55204,1
0.4435,4.5140,2.5582,11.8219,0.0466,0.0052,-0.7299,0,1,0,0.29954,1
0.3681,4.0297,2.7927,12.0974,-2.9667,0.0583,-0.8611,0,1,0,0.84554,3
0.4596,4.9962,2.5992,11.7499,1.4475,0.0336,-0.7331,0,1,0,0.20308,1
0.3370,3.6886,2.8528,13.2731,2.7615,0.0242,-1.6088,0,1,0,2.28823,1
0.4400,4.6641,2.6107,12.6602,3.0310,0.0617,-1.5794,0,1,1,0.62437,1
0.4144,4.1213,2.5892,12.3122,1.6349,0.0025,-1.0837,0,1,0,1.02173,1
0.4052,4.0941,2.6250,11.8285,2.6383,0.0037,-0.6579,0,1,0,0.54734,3
0.3336,3.6398,2.8552,12.8553,2.3784,0.0311,-1.2869,0,1,1,1.61950,1
0.4149,4.2544,2.6231,11.8862,2.5853,0.0577,-0.7948,0,1,0,0.21329,3
0.3694,3.9125,2.7494,11.9524,-2.5122,0.0356,-0.7235,0,1,0,0.58008,3
0.3726,4.0294,2.7688,11.8659,2.3062,0.0181,-0.6426,0,1,0,0.49949,1
0.4284,4.2247,2.5530,11.7257,2.4728,0.0599,-0.6858,0,1,0,0.37683,1
0.3751,4.0943,2.7754,11.9071,-2.4654,0.0365,-0.7022,0,1,0,0.30695,1
0.4121,4.2432,2.6330,11.8781,-1.9006,0.0208,-0.7349,0,1,0,0.52729,3
0.3908,3.9839,2.6629,12.1190,2.9749,0.0292,-0.8953,0,1,0,0.64718,3
0.3798,4.0004,2.7224,11.8772,-3.0129,0.0283,-0.6784,0,1,0,0.54278,3
0.4216,4.4189,2.6347,12.0552,-2.2506,0.0109,-0.8940,0,1,0,0.79173,3
0.3570,3.8715,2.8024,11.7783,-2.9419,0.0326,-0.5668,0,1,0,0.50888,1
0.4136,4.2686,2.6329,11.6658,-2.4073,0.0367,-0.5813,0,1,0,0.27267,3
0.4210,4.4427,2.6439,11.9110,2.6339,0.1214,-0.9116,0,1,0,0.40056,1
0.5180,5.3253,2.4157,11.8111,1.0963,0.0084,-0.8761,0,1,0,0.33378,3
0.5802,5.6463,2.2284,12.0261,0.0969,0.0193,-1.2732,0,1,0,0.46567,1
0.3622,3.8740,2.7755,12.1677,2.8757,0.1152,-0.9770,0,1,1,0.50954,1
0.4681,4.4657,2.4400,11.9888,0.7285,0.0264,-0.9638,0,1,0,0.60986,1
0.4746,4.8788,2.5065,12.7467,-1.9460,0.0039,-1.7055,0,1,0,1.28230,1
0.3944,4.0547,2.6656,11.9226,-3.1352,0.0535,-0.7765,0,1,0,0.65239,3
0.4834,4.6613,2.4211,11.8916,1.0208,0.0169,-0.8920,0,1,0,0.31189,3
0.4784,5.2122,2.5617,11.8950,2.6525,0.0829,-0.9734,0,1,0,0.54460,1
0.4889,4.9940,2.4700,12.1346,-0.5669,0.0204,-1.1535,0,1,0,0.88330,1
0.4739,4.3698,2.3943,12.4661,0.0316,0.0086,-1.4204,0,2,0,0.99021,1
0.4516,4.8395,2.5997,12.1617,-2.0728,0.0343,-1.0992,0,1,1,0.74922,3
0.3921,4.2648,2.7371,11.6202,2.5660,0.0144,-0.4845,0,1,0,0.34255,1
0.4477,4.8868,2.6283,11.8469,1.9440,0.0224,-0.7844,0,1,0,0.38527,1
0.4322,4.7379,2.6653,12.1554,-2.9805,0.0132,-1.0134,0,1,0,0.72235,3
0.4223,4.2718,2.5932,12.8085,-2.7570,0.0107,-1.5683,1,2,1,1.33464,1
0.3667,3.9852,2.7861,11.5268,-2.1933,0.0785,-0.4538,0,1,0,0.24400,1
0.3774,3.9265,2.7127,11.8995,-1.9288,0.0074,-0.6636,0,1,0,0.70649,1
0.4126,4.0698,2.5836,11.9348,-2.0104,0.0585,-0.8321,0,1,0,0.45245,3
0.4147,4.5769,2.7095,13.3602,-2.8302,0.0548,-2.1379,0,1,1,1.63213,0
0.4612,4.4961,2.4763,12.1296,2.2189,0.0167,-1.0679,0,1,0,0.80361,1
0.5108,4.9490,2.3709,11.9345,-1.6966,0.0135,-0.9923,0,2,0,0.61956,1
0.3817,4.0980,2.7422,12.6091,2.7394,0.0955,-1.3713,0,1,2,1.18260,1
0.4508,4.7293,2.5773,11.9167,-0.8805,0.0083,-0.8352,0,1,0,0.31581,1
0.3455,3.7351,2.8206,12.8907,2.7555,0.1459,-1.5495,0,1,1,1.45708,1
0.3932,4.3299,2.7501,12.7738,2.9922,0.0286,-1.4526,0,1,0,1.43812,0
0.5238,5.3623,2.3992,12.2723,-0.7292,0.0007,-1.3699,0,1,0,0.74463,1
0.4622,5.0531,2.5998,12.4379,-3.1247,0.0194,-1.3764,0,1,1,0.89966,3
0.4684,4.6675,2.4853,12.8451,1.0313,0.0061,-1.7837,0,1,1,1.15989,1
0.4125,4.2747,2.6400,12.5758,-2.4665,0.0936,-1.4492,0,1,1,1.23600,1
