Q2,Bjorken X,t,Ebeam,Theta_e,Eprime,Theta_p,p_pi,k_pi,W,Em,Pm,Mm,MMa
4.520000,0.330863,0.138323,10.700000,20.241737,3.420000,18.442428,7.204937,7.470520,3.165690,1.011983,6.517349,0.000000,9.280975
4.520000,0.331318,0.138777,10.700000,20.211898,3.430000,18.567455,7.194693,7.337294,3.162725,1.012225,6.475628,0.000000,9.310427
4.520000,0.331775,0.139233,10.700000,20.182191,3.440000,18.678399,7.184448,7.202329,3.159757,1.012469,6.430648,0.000000,9.341847
4.520000,0.332232,0.139692,10.700000,20.152615,3.450000,18.774888,7.174202,7.065655,3.156786,1.012713,6.382376,0.000000,9.375188
4.520000,0.332691,0.140152,10.700000,20.123168,3.460000,18.856541,7.163954,6.927299,3.153813,1.012959,6.330784,0.000000,9.410399
4.520000,0.333151,0.140616,10.700000,20.093849,3.470000,18.922975,7.153705,6.787288,3.150836,1.013205,6.275846,0.000000,9.447423
4.520000,0.333613,0.141081,10.700000,20.064659,3.480000,18.973799,7.143455,6.645644,3.147857,1.013453,6.217534,0.000000,9.486198
4.520000,0.334075,0.141549,10.700000,20.035596,3.490000,19.008616,7.133204,6.502390,3.144875,1.013703,6.155826,0.000000,9.526654
4.520000,0.334539,0.142019,10.700000,20.006658,3.500000,19.027027,7.122952,6.357542,3.141890,1.013953,6.090699,0.000000,9.568720
4.520000,0.335005,0.142491,10.700000,19.977845,3.510000,19.028626,7.112698,6.211117,3.138902,1.014205,6.022132,0.000000,9.612318
4.520000,0.335471,0.142966,10.700000,19.949157,3.520000,19.013008,7.102443,6.063127,3.135912,1.014458,5.950106,0.000000,9.657365
4.520000,0.335939,0.143443,10.700000,19.920592,3.530000,18.979762,7.092187,5.913578,3.132918,1.014712,5.874604,0.000000,9.703776
4.520000,0.336408,0.143923,10.700000,19.892149,3.540000,18.928477,7.081929,5.762476,3.129922,1.014968,5.795609,0.000000,9.751459
4.520000,0.336879,0.144405,10.700000,19.863828,3.550000,18.858744,7.071670,5.609818,3.126923,1.015225,5.713107,0.000000,9.800320
4.520000,0.337351,0.144889,10.700000,19.835627,3.560000,18.770153,7.061410,5.455598,3.123921,1.015483,5.627084,0.000000,9.850261
4.520000,0.337824,0.145376,10.700000,19.807546,3.570000,18.662299,7.051149,5.299802,3.120916,1.015742,5.537531,0.000000,9.901179
4.520000,0.338298,0.145866,10.700000,19.779584,3.580000,18.534780,7.040886,5.142410,3.117908,1.016003,5.444436,0.000000,9.952971
4.520000,0.338774,0.146358,10.700000,19.751740,3.590000,18.387202,7.030622,4.983392,3.114897,1.016265,5.347794,0.000000,10.005527
4.520000,0.339251,0.146852,10.700000,19.724014,3.600000,18.219181,7.020356,4.822709,3.111883,1.016529,5.247598,0.000000,10.058735
4.520000,0.339730,0.147349,10.700000,19.696403,3.610000,18.030341,7.010089,4.660307,3.108867,1.016793,5.143845,0.000000,10.112483
4.520000,0.340209,0.147848,10.700000,19.668909,3.620000,17.820323,6.999821,4.496122,3.105847,1.017060,5.036535,0.000000,10.166651
4.520000,0.340691,0.148350,10.700000,19.641529,3.630000,17.588784,6.989552,4.330068,3.102825,1.017327,4.925669,0.000000,10.221122
4.520000,0.341173,0.148854,10.700000,19.614264,3.640000,17.335400,6.979281,4.162040,3.099799,1.017596,4.811253,0.000000,10.275773
4.520000,0.341657,0.149362,10.700000,19.587111,3.650000,17.059872,6.969009,3.991908,3.096771,1.017866,4.693293,0.000000,10.330479
4.520000,0.342142,0.149871,10.700000,19.560071,3.660000,16.761925,6.958735,3.819507,3.093740,1.018138,4.571802,0.000000,10.385113
4.520000,0.342629,0.150384,10.700000,19.533143,3.670000,16.441317,6.948460,3.644631,3.090705,1.018411,4.446795,0.000000,10.439548
4.520000,0.343117,0.150898,10.700000,19.506326,3.680000,16.097840,6.938183,3.467023,3.087668,1.018685,4.318291,0.000000,10.493652
4.520000,0.343607,0.151416,10.700000,19.479618,3.690000,15.731324,6.927905,3.286356,3.084628,1.018961,4.186315,0.000000,10.547294
4.520000,0.344098,0.151936,10.700000,19.453021,3.700000,15.341643,6.917626,3.102211,3.081585,1.019238,4.050896,0.000000,10.600338
4.520000,0.344590,0.152459,10.700000,19.426531,3.710000,14.928717,6.907345,2.914044,3.078538,1.019517,3.912068,0.000000,10.652651
4.520000,0.345084,0.152985,10.700000,19.400150,3.720000,14.492521,6.897063,2.721140,3.075489,1.019797,3.769873,0.000000,10.704096
4.520000,0.345579,0.153513,10.700000,19.373876,3.730000,14.033085,6.886779,2.522527,3.072437,1.020079,3.624357,0.000000,10.754536
4.520000,0.346075,0.154045,10.700000,19.347709,3.740000,13.550501,6.876494,2.316857,3.069381,1.020362,3.475576,0.000000,10.803833
4.520000,0.346573,0.154578,10.700000,19.321647,3.750000,13.044927,6.866208,2.102180,3.066323,1.020646,3.323590,0.000000,10.851850
4.520000,0.347072,0.155115,10.700000,19.295690,3.760000,12.516593,6.855919,1.875531,3.063261,1.020932,3.168469,0.000000,10.898449
4.520000,0.347573,0.155655,10.700000,19.269838,3.770000,11.965803,6.845630,1.632060,3.060197,1.021220,3.010292,0.000000,10.943494
4.520000,0.348076,0.156197,10.700000,19.244089,3.780000,11.392939,6.835339,1.362924,3.057129,1.021509,2.849145,0.000000,10.986848
4.520000,0.348579,0.156742,10.700000,19.218443,3.790000,10.798467,6.825046,1.048708,3.054059,1.021799,2.685126,0.000000,11.028380
4.520000,0.349084,0.157290,10.700000,19.192900,3.800000,10.182936,6.814752,0.624991,3.050985,1.022091,2.518340,0.000000,11.067956
4.520000,0.349591,0.157841,10.700000,19.167458,3.810000,9.546986,6.804456,0.000000,3.047908,1.022385,2.348905,0.000000,11.105449
4.520000,0.350099,0.158395,10.700000,19.142117,3.820000,8.891343,6.794159,0.000000,3.044828,1.022680,2.176947,0.000000,11.140734
4.520000,0.350609,0.158952,10.700000,19.116876,3.830000,8.216826,6.783860,0.000000,3.041745,1.022977,2.002607,0.000000,11.173691
4.520000,0.351120,0.159512,10.700000,19.091735,3.840000,7.524341,6.773559,0.000000,3.038659,1.023275,1.826033,0.000000,11.204203
4.520000,0.351633,0.160074,10.700000,19.066692,3.850000,6.814884,6.763257,0.000000,3.035569,1.023575,1.647391,0.000000,11.232163
4.520000,0.352147,0.160640,10.700000,19.041748,3.860000,6.089540,6.752954,0.000000,3.032477,1.023876,1.466858,0.000000,11.257466
4.520000,0.352662,0.161209,10.700000,19.016902,3.870000,5.349475,6.742648,0.000000,3.029381,1.024179,1.284633,0.000000,11.280018
4.520000,0.353179,0.161780,10.700000,18.992153,3.880000,4.595934,6.732341,0.000000,3.026282,1.024484,1.100940,0.000000,11.299732
4.520000,0.353698,0.162355,10.700000,18.967500,3.890000,3.830238,6.722033,0.000000,3.023180,1.024790,0.916046,0.459406,11.316529
4.520000,0.354218,0.162933,10.700000,18.942943,3.900000,3.053774,6.711723,0.000000,3.020075,1.025098,0.730314,0.719353,11.330340
